date,Bitcoin_views,Ethereum_views,Litecoin_views,Dogecoin_views,Binance_views,Coinbase_views,BTC_Close,BTC_Volume
2018-11-01,13454,2607,513,809,487,733,6377.779785,3789400000.0
2018-11-02,14259,2196,481,643,445,692,6388.439941,4234870000.0
2018-11-03,13608,2432,465,740,327,520,6361.259766,3658640000.0
2018-11-04,11189,1996,400,554,399,625,6376.129883,4390020000.0
2018-11-05,12558,2094,525,643,489,986,6419.660156,4174800000.0
2018-11-06,12848,2523,697,2241,497,749,6461.009766,4700040000.0
2018-11-07,11171,1789,577,948,509,636,6530.140137,4941260000.0
2018-11-08,17005,2001,606,859,489,625,6453.720215,4665260000.0
2018-11-09,15740,2785,463,682,419,559,6385.620117,4346820000.0
2018-11-10,11746,2488,400,795,392,453,6409.220215,3705320000.0
2018-11-11,14566,2465,387,606,443,431,6411.27002,3939060000.0
2018-11-12,13431,2226,466,595,518,539,6371.27002,4295770000.0
2018-11-13,12792,2271,492,615,549,591,6359.490234,4503800000.0
2018-11-14,12683,2580,492,769,609,763,5738.350098,7398940000.0
2018-11-15,12021,2398,514,762,510,640,5648.029785,7032140000.0
2018-11-16,10333,1812,490,666,499,559,5575.549805,5279320000.0
2018-11-17,10163,1355,458,575,390,489,5554.330078,4303150000.0
2018-11-18,10186,1544,500,571,441,416,5623.540039,4159680000.0
2018-11-19,13428,2306,798,710,595,799,4871.490234,7039560000.0
2018-11-20,14612,2057,632,826,634,686,4451.870117,8428290000.0
2018-11-21,13971,2422,526,701,515,602,4602.169922,6120120000.0
2018-11-22,11935,1624,467,651,426,443,4365.939941,4569370000.0
2018-11-23,11355,1470,474,585,416,392,4347.109863,4871490000.0
2018-11-24,10062,1379,653,613,367,374,3880.76001,4679500000.0
2018-11-25,11375,1600,504,631,459,440,4009.969971,6825640000.0
2018-11-26,13860,2092,602,748,529,608,3779.129883,6476900000.0
2018-11-27,15200,2143,594,744,519,609,3820.719971,5998720000.0
2018-11-28,12686,1875,579,797,534,615,4257.419922,7280280000.0
